class_name,scientific_name,file,observation_id,observation_url,observer,license_code
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/367023989_670228709.jpg,367023989,https://www.inaturalist.org/observations/367023989,alanvannorman,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/363984874_664441139.jpg,363984874,https://www.inaturalist.org/observations/363984874,alice__lee,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/363597148_663723754.jpg,363597148,https://www.inaturalist.org/observations/363597148,hylaregilla,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/350778566_640066349.jpg,350778566,https://www.inaturalist.org/observations/350778566,brechtheusequin,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/350292072_639109243.jpg,350292072,https://www.inaturalist.org/observations/350292072,gomenwl,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/349477956_637522162.jpg,349477956,https://www.inaturalist.org/observations/349477956,yuihongchiu,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/349477956_637522160.jpg,349477956,https://www.inaturalist.org/observations/349477956,yuihongchiu,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/348065758_634736731.jpg,348065758,https://www.inaturalist.org/observations/348065758,unboundexpeditions,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/345861767_630371461.jpg,345861767,https://www.inaturalist.org/observations/345861767,tation,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/345612761_629880425.jpg,345612761,https://www.inaturalist.org/observations/345612761,shanelle97,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/345612761_629880492.jpg,345612761,https://www.inaturalist.org/observations/345612761,shanelle97,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/345612761_629880433.jpg,345612761,https://www.inaturalist.org/observations/345612761,shanelle97,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/345612761_629880561.jpg,345612761,https://www.inaturalist.org/observations/345612761,shanelle97,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/342947656_624596359.jpg,342947656,https://www.inaturalist.org/observations/342947656,aegolius99,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/342947656_624596382.jpg,342947656,https://www.inaturalist.org/observations/342947656,aegolius99,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/339807491_618235134.jpg,339807491,https://www.inaturalist.org/observations/339807491,jimjimjim,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/339807491_618235177.jpg,339807491,https://www.inaturalist.org/observations/339807491,jimjimjim,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/339807491_618235203.jpg,339807491,https://www.inaturalist.org/observations/339807491,jimjimjim,cc-by-nc
daara-randanakaya,Lycodon carinatus,external/inaturalist/daara-randanakaya/334508094_607480948.jpg,334508094,https://www.inaturalist.org/observations/334508094,mike_hoit,cc-by-nc
